model,horizon_h,MAE,RMSE,R2,PI90_Coverage,seed,cutoff_index
ARIMA,12,32.17317660647772,47.1846451442748,-0.8102066331896736,,9,95326
BiLSTM-Hybrid,3,9.147728442737268,12.030068027383278,-161.81285383640304,,9,95326
BiLSTM-Hybrid,6,25.952946294483052,31.82566781789851,-1011.8731320552209,,9,95326
BiLSTM-Hybrid,12,31.586124319805794,35.87034535436644,-0.04615944779810266,,9,95326
DiffSTG,3,47.55317567713677,47.70837016398284,-2559.5996566665594,0.0,9,95326
DiffSTG,6,42.52182072679301,42.94148921026797,-1842.9714955955603,0.0,9,95326
DiffSTG,12,38.8318069625621,39.72183440996339,-0.2828780034698086,0.08333333333333333,9,95326
ARIMA,3,7.703313229856935,8.51657034703081,-5.276805137339617,,10,98878
ARIMA,6,9.616622136020299,10.14668065462632,-11.649776856828831,,10,98878
ARIMA,12,10.50784111995904,11.652173844236673,-5.347835832035426,,10,98878
BiLSTM-Hybrid,3,35.84337768942249,38.574250920212556,-127.76687987018914,,10,98878
BiLSTM-Hybrid,6,52.94633669344904,56.613710241587064,-392.8021800118146,,10,98878
BiLSTM-Hybrid,12,37.828473865374434,44.94021203057327,-93.42391644766725,,10,98878
DiffSTG,3,4.172351116110215,5.7878182547532395,-1.898938089908591,0.6666666666666666,10,98878
DiffSTG,6,4.557100057631646,5.479751908647563,-2.6894079020196506,0.8333333333333334,10,98878
DiffSTG,12,7.0442714673745295,9.12572169321059,-2.8935541184281,0.6666666666666666,10,98878
ARIMA,3,6.015191408511195,6.046937041162919,0.026363821839960333,,11,94978
ARIMA,6,11.860735905533884,13.276912307246443,-0.1786683534389366,,11,94978
ARIMA,12,12.232893043070076,14.20393288061164,-0.12453052587097169,,11,94978
BiLSTM-Hybrid,3,15.47510725562052,17.871697892636,-7.50466943813861,,11,94978
BiLSTM-Hybrid,6,27.753622576545325,34.614656573392686,-7.011567642827085,,11,94978
BiLSTM-Hybrid,12,71.84669153099846,86.31317223130375,-40.524860572510995,,11,94978
DiffSTG,3,18.72707895415671,22.1576982579583,-12.072995055670281,0.6666666666666666,11,94978
DiffSTG,6,12.959090012940585,16.52873350494409,-0.8267394364763392,0.8333333333333334,11,94978
DiffSTG,12,23.569253842672236,30.888692283436416,-4.318058013595461,0.6666666666666666,11,94978
